id,ad_creation_time,ad_creative_body,ad_creative_link_caption,ad_creative_link_description,ad_creative_link_title,ad_delivery_start_time,ad_delivery_stop_time,ad_snapshot_url,currency,funding_entity,page_id,page_name,impression_range,spend_range,platforms
499844334269818,2019-12-11T13:54:18+0000,Every vote counts  -  Vote DODDS X,,,,2019-12-12T00:01:59+0000,2019-12-12T21:59:59+0000,https://www.facebook.com/ads/archive/render_ad/?id=499844334269818&access_token=EAAP78RrDr0YBAJO84WSb9lgAlJAo6uAHYLt6HWWuDVEWkHZB18lxzYDejdL0EYEUu9OFMnkQQzcJ5L1Tw5NpnZBG8hQFdswU7au5TZB3Lt73GVZCwGmXZA2dYTFdZCNxZCZCHsOP2NffdPi2HngmhrKrZAIFiwjimrc3aMx6MYODJIz5VoxHHnOPqkYMUbdxSfrn7ZBYmOhUz27X04ZCOhXPJdFdLyZCDSsHp2USSxSib48lLUZAnxqXnZA8y5,GBP,Democratic Unionist Party,105732052794210,Democratic Unionist Party,"3000,3999","0,99","facebook,instagram"
453850975333442,2019-12-10T16:36:40+0000,The DUP is the only party with a positive plan to get Northern Ireland moving again.  Vote DUP on 12th December.,www.mydup.com,,The DUP has a positive plan for NI,2019-12-10T16:36:40+0000,2019-12-12T16:36:29+0000,https://www.facebook.com/ads/archive/render_ad/?id=453850975333442&access_token=EAAP78RrDr0YBAJO84WSb9lgAlJAo6uAHYLt6HWWuDVEWkHZB18lxzYDejdL0EYEUu9OFMnkQQzcJ5L1Tw5NpnZBG8hQFdswU7au5TZB3Lt73GVZCwGmXZA2dYTFdZCNxZCZCHsOP2NffdPi2HngmhrKrZAIFiwjimrc3aMx6MYODJIz5VoxHHnOPqkYMUbdxSfrn7ZBYmOhUz27X04ZCOhXPJdFdLyZCDSsHp2USSxSib48lLUZAnxqXnZA8y5,GBP,Democratic Unionist Party,105732052794210,Democratic Unionist Party,"25000,29999","200,299","facebook,instagram"
442557686431595,2019-12-10T16:23:32+0000,"A vote for the DUP is a vote to get Northern Ireland moving again - on health, education and the issues that matter to you.",www.mydup.com,,Vote to get NI moving again,2019-12-10T16:23:32+0000,2019-12-12T16:23:20+0000,https://www.facebook.com/ads/archive/render_ad/?id=442557686431595&access_token=EAAP78RrDr0YBAJO84WSb9lgAlJAo6uAHYLt6HWWuDVEWkHZB18lxzYDejdL0EYEUu9OFMnkQQzcJ5L1Tw5NpnZBG8hQFdswU7au5TZB3Lt73GVZCwGmXZA2dYTFdZCNxZCZCHsOP2NffdPi2HngmhrKrZAIFiwjimrc3aMx6MYODJIz5VoxHHnOPqkYMUbdxSfrn7ZBYmOhUz27X04ZCOhXPJdFdLyZCDSsHp2USSxSib48lLUZAnxqXnZA8y5,GBP,Democratic Unionist Party,105732052794210,Democratic Unionist Party,"15000,19999","100,199","facebook,instagram"
556541275194846,2019-12-10T16:21:42+0000,"🙋‍♀️🙋‍♂️You did it! 🙋‍♀️🙋‍♂️
By voting DUP in 2017 you delivered over £1.5 billion for Northern Ireland.  Make your vote count on 12th December. Vote DUP to get Northern Ireland moving again.",www.mydup.com,,Your vote can deliver for Northern Ireland,2019-12-10T16:21:42+0000,2019-12-12T16:21:29+0000,https://www.facebook.com/ads/archive/render_ad/?id=556541275194846&access_token=EAAP78RrDr0YBAJO84WSb9lgAlJAo6uAHYLt6HWWuDVEWkHZB18lxzYDejdL0EYEUu9OFMnkQQzcJ5L1Tw5NpnZBG8hQFdswU7au5TZB3Lt73GVZCwGmXZA2dYTFdZCNxZCZCHsOP2NffdPi2HngmhrKrZAIFiwjimrc3aMx6MYODJIz5VoxHHnOPqkYMUbdxSfrn7ZBYmOhUz27X04ZCOhXPJdFdLyZCDSsHp2USSxSib48lLUZAnxqXnZA8y5,GBP,Democratic Unionist Party,105732052794210,Democratic Unionist Party,"10000,14999","100,199",facebook
1336872156492716,2019-12-09T13:01:40+0000,"We have a 12-point plan to get Northern Ireland Moving Again.   A vote for the DUP supports a re-established Assembly and Executive. 

A vote for the DUP is a vote for a party that has delivered for everyone in Northern Ireland - but wants to get more done. 

On 12th December, Vote DUP.",www.mydup.com,,A Party with a plan to get NI Moving Again,2019-12-09T13:01:40+0000,2019-12-12T13:01:27+0000,https://www.facebook.com/ads/archive/render_ad/?id=1336872156492716&access_token=EAAP78RrDr0YBAJO84WSb9lgAlJAo6uAHYLt6HWWuDVEWkHZB18lxzYDejdL0EYEUu9OFMnkQQzcJ5L1Tw5NpnZBG8hQFdswU7au5TZB3Lt73GVZCwGmXZA2dYTFdZCNxZCZCHsOP2NffdPi2HngmhrKrZAIFiwjimrc3aMx6MYODJIz5VoxHHnOPqkYMUbdxSfrn7ZBYmOhUz27X04ZCOhXPJdFdLyZCDSsHp2USSxSib48lLUZAnxqXnZA8y5,GBP,Democratic Unionist Party,105732052794210,Democratic Unionist Party,"10000,14999","100,199","facebook,instagram"
446808479343424,2019-12-09T12:20:36+0000,Send an MP to Westminster who will speak up for you and deliver for you  -  Vote Dodds X,,,,2019-12-09T13:00:50+0000,2019-12-12T18:30:50+0000,https://www.facebook.com/ads/archive/render_ad/?id=446808479343424&access_token=EAAP78RrDr0YBAJO84WSb9lgAlJAo6uAHYLt6HWWuDVEWkHZB18lxzYDejdL0EYEUu9OFMnkQQzcJ5L1Tw5NpnZBG8hQFdswU7au5TZB3Lt73GVZCwGmXZA2dYTFdZCNxZCZCHsOP2NffdPi2HngmhrKrZAIFiwjimrc3aMx6MYODJIz5VoxHHnOPqkYMUbdxSfrn7ZBYmOhUz27X04ZCOhXPJdFdLyZCDSsHp2USSxSib48lLUZAnxqXnZA8y5,GBP,Democratic Unionist Party,105732052794210,Democratic Unionist Party,"3000,3999","0,99","facebook,instagram"
1365428573636798,2019-12-09T12:24:17+0000,The DUP delivered £1.5bn for Northern Ireland - help us get more done.  Vote Dodds X.,,,,2019-12-09T13:00:11+0000,2019-12-12T19:30:11+0000,https://www.facebook.com/ads/archive/render_ad/?id=1365428573636798&access_token=EAAP78RrDr0YBAJO84WSb9lgAlJAo6uAHYLt6HWWuDVEWkHZB18lxzYDejdL0EYEUu9OFMnkQQzcJ5L1Tw5NpnZBG8hQFdswU7au5TZB3Lt73GVZCwGmXZA2dYTFdZCNxZCZCHsOP2NffdPi2HngmhrKrZAIFiwjimrc3aMx6MYODJIz5VoxHHnOPqkYMUbdxSfrn7ZBYmOhUz27X04ZCOhXPJdFdLyZCDSsHp2USSxSib48lLUZAnxqXnZA8y5,GBP,Democratic Unionist Party,105732052794210,Democratic Unionist Party,"2000,2999","0,99","facebook,instagram"
587700248766999,2019-12-09T12:51:28+0000,Let's protect our animals better  -  Vote Dodds X,,,,2019-12-09T12:55:06+0000,2019-12-12T20:00:06+0000,https://www.facebook.com/ads/archive/render_ad/?id=587700248766999&access_token=EAAP78RrDr0YBAJO84WSb9lgAlJAo6uAHYLt6HWWuDVEWkHZB18lxzYDejdL0EYEUu9OFMnkQQzcJ5L1Tw5NpnZBG8hQFdswU7au5TZB3Lt73GVZCwGmXZA2dYTFdZCNxZCZCHsOP2NffdPi2HngmhrKrZAIFiwjimrc3aMx6MYODJIz5VoxHHnOPqkYMUbdxSfrn7ZBYmOhUz27X04ZCOhXPJdFdLyZCDSsHp2USSxSib48lLUZAnxqXnZA8y5,GBP,Democratic Unionist Party,105732052794210,Democratic Unionist Party,"4000,4999","0,99","facebook,instagram"
441498383189519,2019-12-09T12:17:21+0000,Protect Northern Ireland's place within the United Kingdom - Vote Dodds X.,,,,2019-12-09T12:30:16+0000,2019-12-12T18:00:16+0000,https://www.facebook.com/ads/archive/render_ad/?id=441498383189519&access_token=EAAP78RrDr0YBAJO84WSb9lgAlJAo6uAHYLt6HWWuDVEWkHZB18lxzYDejdL0EYEUu9OFMnkQQzcJ5L1Tw5NpnZBG8hQFdswU7au5TZB3Lt73GVZCwGmXZA2dYTFdZCNxZCZCHsOP2NffdPi2HngmhrKrZAIFiwjimrc3aMx6MYODJIz5VoxHHnOPqkYMUbdxSfrn7ZBYmOhUz27X04ZCOhXPJdFdLyZCDSsHp2USSxSib48lLUZAnxqXnZA8y5,GBP,Democratic Unionist Party,105732052794210,Democratic Unionist Party,"3000,3999","0,99","facebook,instagram"
1177682192435717,2019-12-09T12:06:48+0000,Lets get Northern Ireland moving forward again - Vote Dodds X,,,,2019-12-09T12:15:58+0000,2019-12-12T18:00:58+0000,https://www.facebook.com/ads/archive/render_ad/?id=1177682192435717&access_token=EAAP78RrDr0YBAJO84WSb9lgAlJAo6uAHYLt6HWWuDVEWkHZB18lxzYDejdL0EYEUu9OFMnkQQzcJ5L1Tw5NpnZBG8hQFdswU7au5TZB3Lt73GVZCwGmXZA2dYTFdZCNxZCZCHsOP2NffdPi2HngmhrKrZAIFiwjimrc3aMx6MYODJIz5VoxHHnOPqkYMUbdxSfrn7ZBYmOhUz27X04ZCOhXPJdFdLyZCDSsHp2USSxSib48lLUZAnxqXnZA8y5,GBP,Democratic Unionist Party,105732052794210,Democratic Unionist Party,"2000,2999","0,99","facebook,instagram"
